Laptop Brand,State,CPU,Generation,CPU Model,Screen Resolution,Memory Card,Memory Card Gen,Storage,Storage Model,GPU,Screen Size,Genuine Windows,Backlit keyboard,Price
Dell,New,Core i7,13,H,FHD,16GB,DDR5,1TB,SSD,RTX4060,15.6,Yes,Yes,1475
Asus,New,Core i3,12,U,FHD,4GB,DDR4,256GB,SSD,Built-in,15.6,No,No,360
Asus,New,Core i7,12,H,FHD,16GB,DDR5,512GB,SSD,RTX3070,15.6,Yes,Yes,1225
Lenovo,New,Core i3,12,U,FHD,4GB,DDR4,256GB,SSD,Built-in,15.6,No,No,330
Acer,Used,Core i5,10,H,FHD,8GB,DDR4,512GB,SSD,GTX1650,15.6,Yes,Yes,495
Hp,New,Core i7,13,H,FHD,16GB,DDR5,512GB,SSD,RTX4070,15.6,No,Yes,1700
Acer,New,Core i5,11,U,FHD,8GB,DDR4,256GB,SSD,MX350,15.6,No,No,435
Hp,Used,Core i5,12,H,FHD,8GB,DDR5,512GB,SSD,RTX3050,15.6,Yes,Yes,735
Asus,Used,Core i7,9,H,FHD,16GB,DDR4,512GB,SSD,GTX1660,15.6,Yes,Yes,699
Dell,Used,Core i7,11,H,QHD,16GB,DDR4,512GB,SSD,RTX3060,15.6,No,Yes,825
Acer,Used,Core i7,10,H,FHD,16GB,DDR4,512GB,SSD,RTX2060,15.6,Yes,Yes,700
Asus,Used,Core i7,11,H,FHD,16GB,DDR4,1TB,SSD,RTX3070,15.6,Yes,No,950
Acer,Used,Core i7,10,H,FHD,16GB,DDR4,512GB,SSD,GTX1650,15.6,Yes,Yes,599
Acer,New,Core i5,12,U,FHD,8GB,DDR4,512GB,SSD,MX550,15.6,No,No,495
Lenovo,New,Core i5,11,H,FHD,8GB,DDR4,256GB,SSD,RTX3050,15.6,No,Yes,735
Acer,New,Core i5,11,U,FHD,8GB,DDR4,256GB,SSD,Built-in,15.6,No,No,400
Asus,Used,Core i5,10,U,HD,8GB,DDR4,256GB,SSD,MX130,15.6,No,No,380
Lenovo,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3060,15.6,No,Yes,1090
Hp,New,Core i5,12,H,FHD,8GB,DDR5,512GB,SSD,GTX1650,15.6,No,Yes,700
Lenovo,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3050,15.6,No,Yes,950
MSI,New,Core i7,12,H,FHD,16GB,DDR4,1TB,SSD,RTX3070,15.6,Yes,Yes,1350
Lenovo,New,Core i7,12,H,QHD,16GB,DDR5,1TB,SSD,RTX3060,15.6,No,Yes,1290
Lenovo,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3060,15.6,No,Yes,1150
MSI,New,Core i7,13,H,FHD,16GB,DDR5,1TB,SSD,RTX4050,15.6,Yes,Yes,1250
Lenovo,New,Core i5,12,H,FHD,16GB,DDR5,512GB,SSD,RTX3050,15.6,No,Yes,910
Asus,New,Core i7,12,H,FHD,16GB,DDR4,512GB,SSD,RTX3050,15.6,Yes,Yes,1050
Asus,New,Core i7,12,H,FHD,16GB,DDR5,512GB,SSD,RTX3070,15.6,Yes,Yes,1275
Hp,New,Core i5,12,U,FHD,8GB,DDR4,512GB,SSD,MX550,15.6,No,No,535
MSI,New,Core i5,11,H,FHD,8GB,DDR4,512GB,SSD,GTX1650,15.6,No,Yes,635
